dialect,disgust ,token,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,disgust ,اشمئزاز,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,disgust ,مشمئزة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,disgust ,مشمئز,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,disgust ,قرف,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,disgust ,قرفان,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,disgust ,قرفانة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,disgust ,مقرف,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,disgust ,قرفانه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,disgust ,خرى,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,disgust ,خرا,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,disgust ,مقزز,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,disgust ,مقززه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,disgust ,مقززة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,disgust ,وقح,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,disgust ,وقاحة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,disgust ,وقحة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,معصب,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,معصبه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,معصبة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,غضبان,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,غضبانه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,غضب,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,معصبة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,مضارب,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,مضاربة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,مقهور,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,قهر,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,مقهورة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,يسب,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,تسب,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,سب,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,يلعن,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,تعلن,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,تتناجر,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,يتناجر,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,مناجره,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,مناجرة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,تناجر,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,يطق,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,تتهاوش,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,يتهاوش,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,هواش,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,هوشة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,هوشه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,تطق,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,مطاقق,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,angry,طق,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,تضحك,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,موده,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,مودة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,معجبة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,انجداب,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,انجذاب,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,منجدبه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,منجذبة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,شوق,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,مشتاق,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,مشتاقه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,مشتاقة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,متلوعة,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,ولع,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,متلوعه,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,متلوع,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,منجذب,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,تعاطف,,,,,,,,,,,,,,,,,,,,,,,
Saudi ,happy,متعاطفة,,,,,,,,,,,,,,,,,,,,,,,
