type,id,title,publishedTime,duration,link
video,oLdrNsdMIss,"شاهد تكريم قناة الأهلي وبرنامج الأبطال لـ ""العالمي"" بيج رامي وماذا قال عن اعظم نادي في الكون",4 hours ago,3:16,https://www.youtube.com/watch?v=oLdrNsdMIss
video,Uywq7SIwd0Y,عرض غاب كاست من 25 جنيه ¡¡ حصرى من معرض بدر ستار,4 weeks ago,0:59,https://www.youtube.com/watch?v=Uywq7SIwd0Y
video,whZ1OH0x-2Y,ملخص مباراة الاهلي وانبي 2-0 الدوري المصري 14-8-2021 ملخص كامل,23 hours ago,9:40,https://www.youtube.com/watch?v=whZ1OH0x-2Y
video,cTBSx_iuxYk,"ستاد مصر - تصريحات قوية من ""سيد عبدالحفيظ ""بعد انتهاء مباراة الأهلي وإنبي",1 day ago,2:03,https://www.youtube.com/watch?v=cTBSx_iuxYk
video,WpGznpccMrw,جمهور التالتة - تحليل محمد عمارة لـ مباراة الأهلي وإنبي ودور محمد مجدي أفشه,1 day ago,3:30,https://www.youtube.com/watch?v=WpGznpccMrw
video,vweRKq840S8,"حازم الكاديكي""ولعها""ويتوقع فوز الأهلى بالدورى ويصرح:مباراة الزمالك والإسماعيلى بعيدة عن اللعب النظيف",9 hours ago,4:41,https://www.youtube.com/watch?v=vweRKq840S8
video,5n4MULQCnTE,إسلام الشاطر : الأهلي لا ينظر لمن خلفه لأنه بعيد جداً .. الأهلي ينافس نفسه فقط,3 hours ago,3:26,https://www.youtube.com/watch?v=5n4MULQCnTE
video,wkBlP6RAUY4,"الأسطورة بيج رامي "" الأهلاوي "" يصف النادي الأهلي ويعبر عن عشقه للكيان",6 hours ago,3:46,https://www.youtube.com/watch?v=wkBlP6RAUY4
video,d-NbqJZrfPE,Al Ahly vs AS Vita Club | CAF CHAMPIONS LEAGUE | 3/6/2021 | beIN SPORTS USA,5 months ago,11:30,https://www.youtube.com/watch?v=d-NbqJZrfPE
video,eQS-rYrqDgw,الرئيس السيسي: أنا بحب الأهلي والزمالك بس أنا مصراوي,1 day ago,1:07,https://www.youtube.com/watch?v=eQS-rYrqDgw
video,A7Mc-AangwM,الاعلام الغربي يكشف عن تصنيع مصر لـ سيارة جديدة لغزو السوق الاوروبية,1 day ago,13:21,https://www.youtube.com/watch?v=A7Mc-AangwM
video,9FAO70KIxqI,مصر.. حقيقة ما يجري في سيناء,2 days ago,15:04,https://www.youtube.com/watch?v=9FAO70KIxqI
video,72EMlWZJdaE,عجائب الأكل في مصر 🇪🇬 البنكرياس طلع بيتاكل!,1 day ago,15:22,https://www.youtube.com/watch?v=72EMlWZJdaE
video,qOOP1iZ8pPI,مقلب الخليجية فى مصر  | Hals - هلس,1 year ago,19:54,https://www.youtube.com/watch?v=qOOP1iZ8pPI
video,3MlhsrniyU0,مشروع المثلث الذهبى سوف يغير شكل الحياه فى صعيد مصر,14 hours ago,8:03,https://www.youtube.com/watch?v=3MlhsrniyU0
video,ha5LZd2H7Q4,مصر تستأنف برنامج الصواريخ الباليستية كوندور 2,15 hours ago,5:28,https://www.youtube.com/watch?v=ha5LZd2H7Q4
video,G8fF-Wt_sGQ,We Tried Egypt Street Food | Must Eat Local Dishes in Cairo,3 years ago,21:43,https://www.youtube.com/watch?v=G8fF-Wt_sGQ
video,rgLu9T00lmA,سألنا بنات مصر من اى دولة عربية تختارين زوجك💏|اجابات صادمه😂,5 months ago,10:13,https://www.youtube.com/watch?v=rgLu9T00lmA
video,DuLAi5IqBoI,بنت صغيره تفرح صحبتها الفقيره - شوف عملت ايه !!,15 hours ago,10:13,https://www.youtube.com/watch?v=DuLAi5IqBoI
video,tJbsfgZY9RA,مهمة فول مصر: الفيلم | 7 أيام من اكتشافات الفول في القاهرة والإسكندرية,3 months ago,1:26:22,https://www.youtube.com/watch?v=tJbsfgZY9RA
